region;peat_type;year;EF_drained_peatland
south;1;2045;-1.5870851904508
south;2;2045;-1.86582786444485
south;4;2045;-0.257806401933058
south;6;2045;-0.712790139349108
south;7;2045;-1.14539927931279
south;1;2046;-1.59387167511668
south;2;2046;-1.87064617443344
south;4;2046;-0.263493845126449
south;6;2046;-0.714337382728429
south;7;2046;-1.1463935241633
south;1;2047;-1.60014704777656
south;2;2047;-1.87495337241603
south;4;2047;-0.268670176313834
south;6;2047;-0.715373514101744
south;7;2047;-1.14687665700782
south;1;2048;-1.60825665051568
south;2;2048;-1.88109480047786
south;4;2048;-0.275680737580455
south;6;2048;-0.718243875554305
south;7;2048;-1.14919401993157
south;1;2049;-1.6139484701296
south;2;2049;-1.88481844541449
south;4;2049;-0.280273515721882
south;6;2049;-0.718696453881672
south;7;2049;-1.14909359973013
south;1;2050;-1.61644357102782
south;2;2050;-1.88534537163542
south;4;2050;-0.281669575147613
south;6;2050;-0.715952313493333
south;7;2050;-1.14579646081299
