maakunta;tkg;species;component;year;bm;ala
1;4;3;2;2018;1.81742626317343;NA
1;4;3;2;2019;1.81742626317343;NA
1;4;3;2;2020;1.81742626317343;NA
1;4;3;2;2021;1.81742626317343;NA
1;4;3;3;2015;3.33440459345002;NA
1;4;3;3;2016;3.33440459345002;38.1770815408476
1;4;3;3;2017;3.33440459345002;NA
1;4;3;3;2018;3.33440459345002;NA
1;4;3;3;2019;3.33440459345002;NA
1;4;3;3;2020;3.33440459345002;NA
1;4;3;3;2021;3.33440459345002;NA
1;4;3;4;2015;0.90811896519463;NA
1;4;3;4;2016;0.90811896519463;38.1770815408476
1;4;3;4;2017;0.90811896519463;NA
1;4;3;4;2018;0.90811896519463;NA
1;4;3;4;2019;0.90811896519463;NA
1;4;3;4;2020;0.90811896519463;NA
1;4;3;4;2021;0.90811896519463;NA
1;4;3;5;2015;0.107660668297693;NA
1;4;3;5;2016;0.107660668297693;38.1770815408476
1;4;3;5;2017;0.107660668297693;NA
1;4;3;5;2018;0.107660668297693;NA
1;4;3;5;2019;0.107660668297693;NA
1;4;3;5;2020;0.107660668297693;NA
1;4;3;5;2021;0.107660668297693;NA
1;4;3;6;2015;1.2072367727186;NA
1;4;3;6;2016;1.2072367727186;38.1770815408476
1;4;3;6;2017;1.2072367727186;NA
1;4;3;6;2018;1.2072367727186;NA
1;4;3;6;2019;1.2072367727186;NA
1;4;3;6;2020;1.2072367727186;NA
1;4;3;6;2021;1.2072367727186;NA
1;4;3;7;2015;3.54261625194445;NA
1;4;3;7;2016;3.54261625194445;38.1770815408476
1;4;3;7;2017;3.54261625194445;NA
1;4;3;7;2018;3.54261625194445;NA
1;4;3;7;2019;3.54261625194445;NA
1;4;3;7;2020;3.54261625194445;NA
1;4;3;7;2021;3.54261625194445;NA
1;6;1;1;2015;38.491937166;NA
1;6;1;1;2016;38.491937166;64.817499063
1;6;1;1;2017;38.491937166;NA
1;6;1;1;2018;38.491937166;NA
1;6;1;1;2019;38.491937166;NA
1;6;1;1;2020;38.491937166;NA
1;6;1;1;2021;38.491937166;NA
1;6;1;2;2015;3.2841392361;NA
1;6;1;2;2016;3.2841392361;64.817499063
1;6;1;2;2017;3.2841392361;NA
1;6;1;2;2018;3.2841392361;NA
1;6;1;2;2019;3.2841392361;NA
1;6;1;2;2020;3.2841392361;NA
1;6;1;2;2021;3.2841392361;NA
1;6;1;3;2015;7.3204429807;NA
1;6;1;3;2016;7.3204429807;64.817499063
1;6;1;3;2017;7.3204429807;NA
1;6;1;3;2018;7.3204429807;NA
1;6;1;3;2019;7.3204429807;NA
1;6;1;3;2020;7.3204429807;NA
1;6;1;3;2021;7.3204429807;NA
1;6;1;4;2015;2.8142315361;NA
1;6;1;4;2016;2.8142315361;64.817499063
1;6;1;4;2017;2.8142315361;NA
1;6;1;4;2018;2.8142315361;NA
1;6;1;4;2019;2.8142315361;NA
1;6;1;4;2020;2.8142315361;NA
1;6;1;4;2021;2.8142315361;NA
1;6;1;5;2015;1.683410429;NA
1;6;1;5;2016;1.683410429;64.817499063
1;6;1;5;2017;1.683410429;NA
1;6;1;5;2018;1.683410429;NA
1;6;1;5;2019;1.683410429;NA
1;6;1;5;2020;1.683410429;NA
1;6;1;5;2021;1.683410429;NA
1;6;1;6;2015;3.5222456;NA
1;6;1;6;2016;3.5222456;64.817499063
1;6;1;6;2017;3.5222456;NA
1;6;1;6;2018;3.5222456;NA
1;6;1;6;2019;3.5222456;NA
1;6;1;6;2020;3.5222456;NA
1;6;1;6;2021;3.5222456;NA
1;6;1;7;2015;10.196540057;NA
1;6;1;7;2016;10.196540057;64.817499063
1;6;1;7;2017;10.196540057;NA
1;6;1;7;2018;10.196540057;NA
1;6;1;7;2019;10.196540057;NA
1;6;1;7;2020;10.196540057;NA
1;6;1;7;2021;10.196540057;NA
1;6;2;1;2015;0.0865902425;NA
1;6;2;1;2016;0.0865902425;64.817499063
1;6;2;1;2017;0.0865902425;NA
1;6;2;1;2018;0.0865902425;NA
1;6;2;1;2019;0.0865902425;NA
1;6;2;1;2020;0.0865902425;NA
1;6;2;1;2021;0.0865902425;NA
1;6;2;2;2015;0.0136225121;NA
1;6;2;2;2016;0.0136225121;64.817499063
1;6;2;2;2017;0.0136225121;NA
1;6;2;2;2018;0.0136225121;NA
1;6;2;2;2019;0.0136225121;NA
1;6;2;2;2020;0.0136225121;NA
1;6;2;2;2021;0.0136225121;NA
1;6;2;3;2015;0.026787918;NA
1;6;2;3;2016;0.026787918;64.817499063
1;6;2;3;2017;0.026787918;NA
1;6;2;3;2018;0.026787918;NA
1;6;2;3;2019;0.026787918;NA
1;6;2;3;2020;0.026787918;NA
1;6;2;3;2021;0.026787918;NA
1;6;2;4;2015;0.0203676115;NA
1;6;2;4;2016;0.0203676115;64.817499063
1;6;2;4;2017;0.0203676115;NA
1;6;2;4;2018;0.0203676115;NA
1;6;2;4;2019;0.0203676115;NA
1;6;2;4;2020;0.0203676115;NA
1;6;2;4;2021;0.0203676115;NA
1;6;2;5;2015;0.0100400032;NA
1;6;2;5;2016;0.0100400032;64.817499063
1;6;2;5;2017;0.0100400032;NA
1;6;2;5;2018;0.0100400032;NA
1;6;2;5;2019;0.0100400032;NA
1;6;2;5;2020;0.0100400032;NA
1;6;2;5;2021;0.0100400032;NA
1;6;2;6;2015;0.0099276827;NA
1;6;2;6;2016;0.0099276827;64.817499063
1;6;2;6;2017;0.0099276827;NA
1;6;2;6;2018;0.0099276827;NA
1;6;2;6;2019;0.0099276827;NA
1;6;2;6;2020;0.0099276827;NA
1;6;2;6;2021;0.0099276827;NA
1;6;2;7;2015;0.0445347698;NA
1;6;2;7;2016;0.0445347698;64.817499063
1;6;2;7;2017;0.0445347698;NA
1;6;2;7;2018;0.0445347698;NA
1;6;2;7;2019;0.0445347698;NA
1;6;2;7;2020;0.0445347698;NA
1;6;2;7;2021;0.0445347698;NA
1;6;3;1;2015;1.2213279078;NA
1;6;3;1;2016;1.2213279078;64.817499063
1;6;3;1;2017;1.2213279078;NA
1;6;3;1;2018;1.2213279078;NA
1;6;3;1;2019;1.2213279078;NA
1;6;3;1;2020;1.2213279078;NA
1;6;3;1;2021;1.2213279078;NA
1;6;3;2;2015;0.2903767956;NA
1;6;3;2;2016;0.2903767956;64.817499063
1;6;3;2;2017;0.2903767956;NA
1;6;3;2;2018;0.2903767956;NA
1;6;3;2;2019;0.2903767956;NA
1;6;3;2;2020;0.2903767956;NA
1;6;3;2;2021;0.2903767956;NA
1;6;3;3;2015;0.1923279518;NA
1;6;3;3;2016;0.1923279518;64.817499063
1;6;3;3;2017;0.1923279518;NA
1;6;3;3;2018;0.1923279518;NA
1;6;3;3;2019;0.1923279518;NA
1;6;3;3;2020;0.1923279518;NA
1;6;3;3;2021;0.1923279518;NA
1;6;3;4;2015;0.1136493595;NA
1;6;3;4;2016;0.1136493595;64.817499063
1;6;3;4;2017;0.1136493595;NA
1;6;3;4;2018;0.1136493595;NA
1;6;3;4;2019;0.1136493595;NA
1;6;3;4;2020;0.1136493595;NA
1;6;3;4;2021;0.1136493595;NA
1;6;3;5;2015;0.0042419633;NA
1;6;3;5;2016;0.0042419633;64.817499063
1;6;3;5;2017;0.0042419633;NA
1;6;3;5;2018;0.0042419633;NA
1;6;3;5;2019;0.0042419633;NA
1;6;3;5;2020;0.0042419633;NA
1;6;3;5;2021;0.0042419633;NA
1;6;3;6;2015;0.2895016795;NA
1;6;3;6;2016;0.2895016795;64.817499063
1;6;3;6;2017;0.2895016795;NA
1;6;3;6;2018;0.2895016795;NA
1;6;3;6;2019;0.2895016795;NA
1;6;3;6;2020;0.2895016795;NA
1;6;3;6;2021;0.2895016795;NA
1;6;3;7;2015;1.3159019344;NA
1;6;3;7;2016;1.3159019344;64.817499063
1;6;3;7;2017;1.3159019344;NA
1;6;3;7;2018;1.3159019344;NA
1;6;3;7;2019;1.3159019344;NA
1;6;3;7;2020;1.3159019344;NA
1;6;3;7;2021;1.3159019344;NA
1;7;1;1;2015;0;NA
1;7;1;1;2016;0;0
1;7;1;1;2017;0;NA
1;7;1;1;2018;0;NA
1;7;1;1;2019;0;NA
1;7;1;1;2020;0;NA
1;7;1;1;2021;0;NA
1;7;1;2;2015;0;NA
1;7;1;2;2016;0;0
1;7;1;2;2017;0;NA
1;7;1;2;2018;0;NA
1;7;1;2;2019;0;NA
1;7;1;2;2020;0;NA
1;7;1;2;2021;0;NA
1;7;1;3;2015;0;NA
1;7;1;3;2016;0;0
1;7;1;3;2017;0;NA
1;7;1;3;2018;0;NA
1;7;1;3;2019;0;NA
1;7;1;3;2020;0;NA
1;7;1;3;2021;0;NA
1;7;1;4;2015;0;NA
1;7;1;4;2016;0;0
1;7;1;4;2017;0;NA
1;7;1;4;2018;0;NA
1;7;1;4;2019;0;NA
1;7;1;4;2020;0;NA
1;7;1;4;2021;0;NA
1;7;1;5;2015;0;NA
1;7;1;5;2016;0;0
1;7;1;5;2017;0;NA
1;7;1;5;2018;0;NA
1;7;1;5;2019;0;NA
1;7;1;5;2020;0;NA
1;7;1;5;2021;0;NA
1;7;1;6;2015;0;NA
1;7;1;6;2016;0;0
