maakunta;peat_type;tree_type;year;basal_area
8;4;pine;2021;15.3985177336515
8;4;spruce;2015;2.86498785857082
8;4;spruce;2016;2.86498785857082
8;4;spruce;2017;2.86498785857082
8;4;spruce;2018;2.86498785857082
8;4;spruce;2019;2.86498785857082
8;4;spruce;2020;2.86498785857082
8;4;spruce;2021;2.86498785857082
8;4;deciduous;2015;3.68979561921058
8;4;deciduous;2016;3.68979561921058
8;4;deciduous;2017;3.68979561921058
8;4;deciduous;2018;3.68979561921058
8;4;deciduous;2019;3.68979561921058
8;4;deciduous;2020;3.68979561921058
8;4;deciduous;2021;3.68979561921058
8;6;pine;2015;14.865617068
8;6;pine;2016;14.865617068
8;6;pine;2017;14.865617068
8;6;pine;2018;14.865617068
8;6;pine;2019;14.865617068
8;6;pine;2020;14.865617068
8;6;pine;2021;14.865617068
8;6;spruce;2015;0.0517035323
8;6;spruce;2016;0.0517035323
8;6;spruce;2017;0.0517035323
8;6;spruce;2018;0.0517035323
8;6;spruce;2019;0.0517035323
8;6;spruce;2020;0.0517035323
8;6;spruce;2021;0.0517035323
8;6;deciduous;2015;0.6735795689
8;6;deciduous;2016;0.6735795689
8;6;deciduous;2017;0.6735795689
8;6;deciduous;2018;0.6735795689
8;6;deciduous;2019;0.6735795689
8;6;deciduous;2020;0.6735795689
8;6;deciduous;2021;0.6735795689
8;7;pine;2015;0
8;7;pine;2016;0
8;7;pine;2017;0
8;7;pine;2018;0
8;7;pine;2019;0
8;7;pine;2020;0
8;7;pine;2021;0
8;7;spruce;2015;0
8;7;spruce;2016;0
8;7;spruce;2017;0
8;7;spruce;2018;0
8;7;spruce;2019;0
8;7;spruce;2020;0
8;7;spruce;2021;0
8;7;deciduous;2015;0
8;7;deciduous;2016;0
8;7;deciduous;2017;0
8;7;deciduous;2018;0
8;7;deciduous;2019;0
8;7;deciduous;2020;0
8;7;deciduous;2021;0
9;1;pine;2015;6.3773137301
9;1;pine;2016;6.3773137301
9;1;pine;2017;6.3773137301
9;1;pine;2018;6.3773137301
9;1;pine;2019;6.3773137301
9;1;pine;2020;6.3773137301
9;1;pine;2021;6.3773137301
9;1;spruce;2015;6.9010374747
9;1;spruce;2016;6.9010374747
9;1;spruce;2017;6.9010374747
9;1;spruce;2018;6.9010374747
9;1;spruce;2019;6.9010374747
9;1;spruce;2020;6.9010374747
9;1;spruce;2021;6.9010374747
9;1;deciduous;2015;7.427262338
9;1;deciduous;2016;7.427262338
9;1;deciduous;2017;7.427262338
9;1;deciduous;2018;7.427262338
9;1;deciduous;2019;7.427262338
9;1;deciduous;2020;7.427262338
9;1;deciduous;2021;7.427262338
9;2;pine;2015;7.76005906834151
9;2;pine;2016;7.76005906834151
9;2;pine;2017;7.76005906834151
9;2;pine;2018;7.76005906834151
9;2;pine;2019;7.76005906834151
9;2;pine;2020;7.76005906834151
9;2;pine;2021;7.76005906834151
9;2;spruce;2015;7.79379347251954
9;2;spruce;2016;7.79379347251954
9;2;spruce;2017;7.79379347251954
9;2;spruce;2018;7.79379347251954
9;2;spruce;2019;7.79379347251954
9;2;spruce;2020;7.79379347251954
9;2;spruce;2021;7.79379347251954
9;2;deciduous;2015;5.47099495368805
9;2;deciduous;2016;5.47099495368805
9;2;deciduous;2017;5.47099495368805
9;2;deciduous;2018;5.47099495368805
9;2;deciduous;2019;5.47099495368805
9;2;deciduous;2020;5.47099495368805
9;2;deciduous;2021;5.47099495368805
9;4;pine;2015;14.78389838769
9;4;pine;2016;14.78389838769
9;4;pine;2017;14.78389838769
9;4;pine;2018;14.78389838769
9;4;pine;2019;14.78389838769
9;4;pine;2020;14.78389838769
9;4;pine;2021;14.78389838769
9;4;spruce;2015;1.73934954138283
9;4;spruce;2016;1.73934954138283
